plate_name,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%,url
MAA000907,Liver,Non-hepatocytes,3_11_M,3,M,11,Viable,309609.5,83.07,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000907.zip
MAA000884,Pancreas,Endocrine,3_10_M,3,M,10,Viable,460646.0,85.99000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000884.zip
MAA000583,Colon,Distal,3_9_M,3,M,9,Multiple,393972.5,83.465,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000583.zip
MAA000902,Brain,Striatum,3_11_M,3,M,11,Neurons,203518.0,73.61,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000902.zip
MAA000560,Brain,Cortex,3_10_M,3,M,10,Neurons,624161.5,85.215,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000560.zip
MAA000107,Colon,Proximal,30_2_M,30,M,2,Multiple,1243890.0,71.08,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000107.zip
MAA000609,Thymus,,3_8_M,3,M,8,Multiple,293448.0,85.445,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000609.zip
MAA000926,Brain,Cortex,3_9_M,3,M,9,Neurons,306063.5,84.97,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000926.zip
MAA000779,Spleen,,3_11_M,3,M,11,Viable,481670.0,81.245,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000779.zip
MAA000910,Pancreas,Exocrine,3_10_M,3,M,10,Viable,415284.5,80.205,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000910.zip
B000621,Brain,Hippocampus,3_56_F,3,F,56,Neurons,462680.5,86.375,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000621.zip
B002431,Heart,Aorta,3_39_F,3,F,39,Viable,298428.5,64.065,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002431.zip
MAA000538,Brain,Cerebellum,3_8_M,3,M,8,Neurons,14061.5,74.345,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000538.zip
MAA000424,Brain,Cerebellum,3_11_M,3,M,11,Neurons,15818.5,76.725,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000424.zip
D045058,Fat,GAT,3_39_F,3,F,39,Multiple,687818.5,88.66,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045058.zip
MAA000611,Colon,Proximal,3_8_M,3,M,8,Multiple,3997.5,74.25999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000611.zip
MAA000553,Brain,Hippocampus,3_10_M,3,M,10,,203086.5,82.68,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000553.zip
MAA001845,Brain,Cerebellum,3_39_F,3,F,39,Neurons,49516.5,75.595,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001845.zip
MAA000917,Heart,LV,3_11_M,3,M,11,Viable,238791.5,80.225,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000917.zip
B001176,Brain,Striatum,3_56_F,3,F,56,Microglia,485862.0,90.25,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001176.zip
MAA000577,Pancreas,Endocrine,3_8_M,3,M,8,Viable,311408.0,86.53999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000577.zip
MAA000594,Heart,Aorta,3_8_M,3,M,8,Viable,432379.0,63.78,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000594.zip
B002421,Heart,LV,3_39_F,3,F,39,Viable,538887.0,85.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002421.zip
B000166,Mammary_Gland,Mammary_Gland,3_56_F,3,F,56,Multiple,498220.0,80.37,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000166.zip
MAA000400,Heart,LA,3_8_M,3,M,8,Viable,23063.0,78.25,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000400.zip
MAA000932,Brain,Hippocampus,3_11_M,3,M,11,Neurons,44228.0,73.295,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000932.zip
MAA000600,Marrow,KLS,3_8_M,3,M,8,Multiple,366504.0,85.15,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000600.zip
B002429,Heart,LV,3_38_F,3,F,38,Viable,513713.5,78.775,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002429.zip
MAA001865,Trachea,,3_38_F,3,F,38,Multiple,457004.5,87.53,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001865.zip
B003278,Brain,Cortex,3_38_F,3,F,38,Microglia,395170.5,72.455,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003278.zip
MAA100138,Liver,Hepatocytes,3_56_F,3,F,56,,220816.0,83.86500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100138.zip
MAA000561,Brain,Cortex,3_10_M,3,M,10,Neurons,193591.5,83.61,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000561.zip
MAA000564,Brain,Striatum,3_10_M,3,M,10,Neurons,554839.0,85.44,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000564.zip
B002428,Heart,LA,3_38_F,3,F,38,Viable,564720.5,89.32,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002428.zip
D042186,Muscle,ForelimbandHindlimb,3_8_M,3,M,8,Multiple,594492.5,86.525,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042186.zip
MAA001632,Colon,Proximal,3_56_F,3,F,56,Multiple,549595.0,83.765,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001632.zip
B000636,Heart,LV,3_56_F,3,F,56,Viable,471039.5,85.365,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000636.zip
MAA000510,Fat,SCAT,3_8_M,3,M,8,Multiple,22849.0,79.94,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000510.zip
MAA000942,Brain,Striatum,3_8_M,3,M,8,Neurons,261371.5,84.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000942.zip
MAA000573,Brain,Cortex,3_9_M,3,M,9,Microglia,307408.0,86.93,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000573.zip
MAA000597,Skin,Anagen,3_9_M,3,M,9,Multiple,410865.0,86.155,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000597.zip
MAA000385,Fat,SCAT,3_10_M,3,M,10,Multiple,312963.5,86.0,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000385.zip
D042103,Muscle,ForelimbandHindlimb,3_11_M,3,M,11,Multiple,417585.5,83.49000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042103.zip
D042473,Muscle,ForelimbandHindlimb,3_10_M,3,M,10,Multiple,521264.0,87.16,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042473.zip
B002955,Fat,GAT,3_56_F,3,F,56,Multiple,422166.5,83.48,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002955.zip
B002954,Fat,SCAT,3_56_F,3,F,56,Multiple,462325.5,85.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002954.zip
MAA000587,Heart,LV,3_8_M,3,M,8,Viable,23726.0,74.295,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000587.zip
B000827,Thymus,Flowthrough,3_38_F,3,F,38,Multiple,472771.0,85.87,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000827.zip
MAA000508,Spleen,,3_9_M,3,M,9,Viable,238752.0,83.405,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000508.zip
MAA000927,Skin,,3_9_M,3,M,9,Multiple,414295.5,86.065,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000927.zip
MAA100041,Liver,Hepatocytes,3_9_M,3,M,9,,585011.0,78.155,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100041.zip
MAA000937,Colon,Distal,3_8_M,3,M,8,Multiple,31752.0,75.47,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000937.zip
D045067,Fat,GAT,3_38_F,3,F,38,Multiple,385806.5,86.96000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045067.zip
D042180,Muscle,Diaphragm,3_10_M,3,M,10,Multiple,14790.5,80.41,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042180.zip
MAA000909,Colon,Proximal,3_10_M,3,M,10,Multiple,27827.0,72.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000909.zip
MAA001842,Marrow,T-cells,3_38_F,3,F,38,Multiple,596427.0,84.535,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001842.zip
B002769,Muscle,ForelimbandHindlimb,3_39_F,3,F,39,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",452160.5,85.515,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002769.zip
MAA000604,Brain,Cortex,3_10_M,3,M,10,Microglia,249347.0,83.03999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000604.zip
MAA000526,Lung,,3_9_M,3,M,9,Multiple,543070.0,88.505,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000526.zip
MAA000612,Colon,Proximal,3_9_M,3,M,9,Multiple,51811.0,74.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000612.zip
B003274,Brain,Striatum,3_38_F,3,F,38,Neurons,433682.5,83.685,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003274.zip
MAA001892,Lung,Endomucin,3_38_F,3,F,38,Multiple,407601.5,80.195,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001892.zip
D041914,Bladder,,3_8_M,3,M,8,Multiple,27854.0,80.79499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041914.zip
B000412,Heart,RA,3_56_F,3,F,56,Viable,447821.5,85.435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000412.zip
B002314,Fat,MAT,3_56_F,3,F,56,Multiple,562578.0,86.59,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002314.zip
MAA000545,Kidney,,3_8_M,3,M,8,Viable,591216.5,87.02,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000545.zip
MAA000571,Brain,Cerebellum,3_9_M,3,M,9,Microglia,512473.0,85.63,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000571.zip
MAA001454,Muscle,Diaphragm,3_38_F,3,F,38,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",450447.0,85.33500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001454.zip
D045139,Marrow,Granulocytes,3_39_F,3,F,39,Multiple,416045.0,87.015,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045139.zip
B000168,Mammary_Gland,Mammary_Gland,3_57_F,3,F,57,Multiple,600027.0,84.455,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000168.zip
MAA000924,Brain,Cerebellum,3_8_M,3,M,8,Neurons,240805.0,44.3,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000924.zip
MAA000496,Trachea,,3_10_M,3,M,10,Multiple,576674.5,86.445,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000496.zip
B002780,Tongue,,3_38_F,3,F,38,Multiple,437945.5,85.07,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002780.zip
MAA000898,Heart,RV,3_11_M,3,M,11,Viable,169669.0,74.4,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000898.zip
MAA000844,Marrow,T-cells,3_10_M,3,M,10,Multiple,402908.5,83.53,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000844.zip
MAA001856,Brain,Cerebellum,3_39_F,3,F,39,Neurons,421949.5,86.65,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001856.zip
MAA001873,Colon,Distal,3_38_F,3,F,38,Multiple,826163.5,80.27,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001873.zip
MAA000563,Brain,Hippocampus,3_10_M,3,M,10,Neurons,76708.0,61.04,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000563.zip
MAA001875,Colon,Distal,3_39_F,3,F,39,Multiple,485259.0,83.27,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001875.zip
D045064,Fat,MAT,3_38_F,3,F,38,Multiple,663436.5,88.64,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045064.zip
MAA000801,Kidney,,3_11_M,3,M,11,Viable,402263.5,78.055,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000801.zip
MAA100042,Liver,Hepatocytes,3_9_M,3,M,9,,373574.0,83.97,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100042.zip
MAA001853,Brain,Cerebellum,3_38_F,3,F,38,Neurons,22951.5,64.63499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001853.zip
D041904,Tongue,,3_10_M,3,M,10,Multiple,604600.0,86.67500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041904.zip
MAA000891,Lung,,3_10_M,3,M,10,Multiple,371015.5,81.49000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000891.zip
B002436,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,413615.5,85.32,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002436.zip
