plate_name,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%,url
MAA000550,Brain,Hippocampus,3_10_M,3,M,10,Neurons,3859.5,73.695,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000550.zip
MAA000873,Fat,MAT,3_10_M,3,M,10,Multiple,408283.5,80.445,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000873.zip
B000971,Spleen,,3_39_F,3,F,39,Viable,622976.5,85.09,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000971.zip
MAA001895,Brain,Cortex,3_38_F,3,F,38,Neurons,241857.5,85.715,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001895.zip
MAA000140,Heart,RV,30_2_M,30,M,2,Viable,801900.0,82.465,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000140.zip
MAA000870,Colon,Distal,3_10_M,3,M,10,Multiple,479086.5,79.455,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000870.zip
MAA000144,Kidney,,30_2_M,30,M,2,Viable,819552.5,83.055,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000144.zip
B000634,Heart,LA,3_56_F,3,F,56,Viable,501895.0,85.525,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000634.zip
MAA000908,Heart,Aorta,3_10_M,3,M,10,Viable,162691.0,70.685,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000908.zip
B003283,Skin,,3_38_F,3,F,38,Multiple,551779.5,86.88499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003283.zip
MAA000947,Brain,Hippocampus,3_9_M,3,M,9,Neurons,96125.5,77.875,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000947.zip
MAA001894,Brain,Cortex,3_39_F,3,F,39,Neurons,280839.0,85.71000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001894.zip
MAA001884,Marrow,B-cells,3_38_F,3,F,38,Multiple,736746.5,84.745,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001884.zip
MAA000934,Fat,SCAT,3_9_M,3,M,9,Multiple,396239.5,85.385,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000934.zip
B000825,Brain,Striatum,3_38_F,3,F,38,Microglia,670709.0,82.265,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000825.zip
MAA001888,Marrow,T-cells,3_39_F,3,F,39,Multiple,558324.5,87.16499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001888.zip
MAA000452,Heart,RV,3_8_M,3,M,8,Viable,48501.5,77.545,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000452.zip
MAA000940,Brain,Striatum,3_8_M,3,M,8,Neurons,34591.0,79.525,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000940.zip
MAA000442,Fat,BAT,3_11_M,3,M,11,Multiple,457718.5,83.36500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000442.zip
B001689,Brain,Hippocampus,3_38_F,3,F,38,Microglia,523825.0,91.595,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001689.zip
MAA000592,Brain,Hippocampus,3_9_M,3,M,9,Microglia,472359.0,85.3,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000592.zip
MAA001539,Colon,Distal,3_56_F,3,F,56,Multiple,488192.0,82.31,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001539.zip
MAA001862,Pancreas,Endocrine,3_39_F,3,F,39,Viable,543441.5,87.025,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001862.zip
MAA000880,Thymus,,3_11_M,3,M,11,Multiple,468451.0,78.995,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000880.zip
D042105,Muscle,Diaphragm,3_11_M,3,M,11,Multiple,556269.0,86.32499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042105.zip
MAA000145,Spleen,,30_2_M,30,M,2,Viable,1074727.0,73.38,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000145.zip
B001688,Brain,Hippocampus,3_38_F,3,F,38,Neurons,525252.5,90.66,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001688.zip
B000126,Skin,,3_39_F,3,F,39,Multiple,425639.5,86.56,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000126.zip
B003284,Thymus,Epithelium,3_39_F,3,F,39,Multiple,338779.5,85.60499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003284.zip
MAA100140,Liver,Hepatocytes,3_57_F,3,F,57,,228372.0,84.49000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100140.zip
B002427,Heart,LA,3_39_F,3,F,39,Viable,564774.5,89.37,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002427.zip
B002423,Heart,RV,3_39_F,3,F,39,Viable,560943.0,87.015,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002423.zip
MAA000603,Brain,Hippocampus,3_10_M,3,M,10,Microglia,458410.0,85.02000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000603.zip
MAA000077,Mammary_Gland,Mammary_Gland,24_1_M,24,M,1,MRUs(F),857249.0,87.2,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000077.zip
B002765,Muscle,ForelimbandHindlimb,3_38_F,3,F,38,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",532520.5,84.73,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002765.zip
MAA100096,Heart,?,3_38_F/3_39_F,,,,cardiomyocytes,145481.5,75.62,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100096.zip
MAA000072,Heart,LV,24_1_M,24,M,1,Viable,786863.0,51.31,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000072.zip
D042253,Bladder,,3_9_M,3,M,9,Multiple,10713.5,81.125,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042253.zip
MAA100040,Liver,Hepatocytes,3_11_M,3,M,11,,370448.5,77.995,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100040.zip
B001717,Kidney,,3_38_F,3,F,38,Viable,399109.5,79.50999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001717.zip
MAA000638,Brain,Cerebellum,3_9_M,3,M,9,Neurons,245118.5,49.435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000638.zip
MAA000923,Brain,Hippocampus,3_9_M,3,M,9,Neurons,32899.5,73.54,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000923.zip
MAA000936,Heart,RA,3_9_M,3,M,9,Viable,465110.5,86.14500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000936.zip
B000633,Heart,RV,3_56_F,3,F,56,Viable,504047.5,86.85499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000633.zip
MAA000549,Skin,Anagen,3_8_M,3,M,8,Multiple,244206.0,83.09,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000549.zip
MAA000918,Heart,LV,3_10_M,3,M,10,Viable,316889.5,82.26,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000918.zip
B003285,Thymus,Epithelium,3_38_F,3,F,38,Multiple,340119.0,83.16499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003285.zip
D041912,Marrow,Granulocytes,3_8_M,3,M,8,Multiple,3681.0,79.135,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041912.zip
MAA000556,Fat,BAT,3_9_M,3,M,9,Multiple,383416.5,81.675,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000556.zip
MAA000409,Marrow,Granulocytes,3_10_M,3,M,10,Multiple,433136.0,88.79,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000409.zip
B000404,Brain,Cerebellum,3_56_F,3,F,56,Neurons,439997.5,86.66,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000404.zip
MAA000901,Heart,RV,3_10_M,3,M,10,Viable,270971.0,79.88,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000901.zip
B003290,Brain,Striatum,3_38_F,3,F,38,Neurons,332413.5,83.985,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003290.zip
MAA000615,Brain,Striatum,3_10_M,3,M,10,Neurons,52546.0,54.92,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000615.zip
B000127,Fat,SCAT,3_38_F,3,F,38,Multiple,546166.5,87.67,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000127.zip
MAA000839,Lung,,3_11_M,3,M,11,Multiple,331990.5,80.085,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000839.zip
MAA001889,Lung,EPCAM,3_38_F,3,F,38,Multiple,525700.0,85.02000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001889.zip
MAA000607,Thymus,,3_9_M,3,M,9,Multiple,318989.5,83.995,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000607.zip
B002764,Bladder,,3_38_F,3,F,38,Multiple,146313.5,84.67,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002764.zip
B003281,Brain,Hippocampus,3_39_F,3,F,39,Microglia,368677.5,85.4,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003281.zip
D043526,Fat,SCAT,3_39_F,3,F,39,Multiple,428514.5,88.11,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D043526.zip
B002775,Kidney,,3_39_F,3,F,39,Viable,422421.5,85.025,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002775.zip
MAA001883,Marrow,B-cells,3_39_F,3,F,39,Multiple,681925.5,84.59,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001883.zip
B002707,Fat,BAT,3_39_F,3,F,39,Multiple,179133.5,82.255,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002707.zip
MAA000938,Skin,,3_8_M,3,M,8,Multiple,222886.5,85.405,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000938.zip
MAA000377,Liver,Non-hepatocytes,3_9_M,3,M,9,Viable,309888.5,85.29499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000377.zip
MAA001867,Trachea,,3_39_F,3,F,39,Multiple,443748.5,87.125,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001867.zip
MAA000386,Fat,SCAT,3_11_M,3,M,11,Multiple,411719.5,85.795,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000386.zip
MAA000439,Fat,GAT,3_10_M,3,M,10,Multiple,554794.5,85.8,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000439.zip
MAA000925,Brain,Striatum,3_9_M,3,M,9,Neurons,317158.5,83.445,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000925.zip
MAA000617,Brain,Striatum,3_10_M,3,M,10,Microglia,264132.0,84.245,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000617.zip
MAA000559,Spleen,,3_8_M,3,M,8,Viable,9900.5,72.465,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000559.zip
MAA000094,Brain,Hippocampus,24_1_M,24,M,1,Neurons,1202664.0,87.37,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000094.zip
B003279,Brain,Cerebellum,3_38_F,3,F,38,Microglia,584398.0,83.93,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003279.zip
MAA100039,Liver,Hepatocytes,3_11_M,3,M,11,,432392.5,81.945,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100039.zip
B001216,Fat,BAT,3_38_F,3,F,38,Multiple,678579.0,82.0,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001216.zip
MAA000928,Brain,Cerebellum,3_9_M,3,M,9,Neurons,55881.0,72.85,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000928.zip
B002777,Tongue,,3_39_F,3,F,39,Multiple,401794.5,83.875,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002777.zip
MAA000398,Heart,LA,3_9_M,3,M,9,Viable,403096.0,86.26,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000398.zip
MAA000554,Fat,GAT,3_8_M,3,M,8,Multiple,12066.0,72.78,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000554.zip
MAA000903,Heart,RA,3_11_M,3,M,11,Viable,308566.5,79.70500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000903.zip
MAA000590,Brain,Striatum,3_9_M,3,M,9,Microglia,561701.0,82.45500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000590.zip
MAA000913,Fat,GAT,3_9_M,3,M,9,Multiple,414392.0,82.60499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000913.zip
MAA000944,Brain,Cortex,3_9_M,3,M,9,Neurons,235919.0,85.13,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000944.zip
MAA000570,Brain,Cerebellum,3_8_M,3,M,8,Microglia,418185.0,81.44999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000570.zip
MAA000586,Heart,RA,3_8_M,3,M,8,Viable,5167.5,74.78999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000586.zip
MAA000877,Fat,MAT,3_11_M,3,M,11,Multiple,515601.0,86.44999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000877.zip
MAA000941,Brain,Hippocampus,3_8_M,3,M,8,Neurons,241425.5,84.53,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000941.zip
