plate_name,download_url,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%
B002421,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002421.zip,Heart,LV,3_39_F,3,F,39,Viable,538887.0,85.58
MAA100097,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100097.zip,Heart,LA/RA,3_38_F/3_39_F,3,F,,cardiomyocytes,484462.0,77.62
MAA000587,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000587.zip,Heart,LV,3_8_M,3,M,8,Viable,23726.0,74.295
MAA000399,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000399.zip,Heart,RV,3_9_M,3,M,9,Viable,340897.5,81.095
B002431,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002431.zip,Heart,Aorta,3_39_F,3,F,39,Viable,298428.5,64.065
MAA000898,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000898.zip,Heart,RV,3_11_M,3,M,11,Viable,169669.0,74.4
B002010,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002010.zip,Heart,RA,3_39_F,3,F,39,Viable,612043.5,86.68
MAA000901,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000901.zip,Heart,RV,3_10_M,3,M,10,Viable,270971.0,79.88
MAA000899,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000899.zip,Heart,RA,3_10_M,3,M,10,Viable,375227.0,81.14
MAA000918,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000918.zip,Heart,LV,3_10_M,3,M,10,Viable,316889.5,82.26
B000633,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000633.zip,Heart,RV,3_56_F,3,F,56,Viable,504047.5,86.85499999999999
MAA000936,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000936.zip,Heart,RA,3_9_M,3,M,9,Viable,465110.5,86.14500000000001
MAA000917,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000917.zip,Heart,LV,3_11_M,3,M,11,Viable,238791.5,80.225
MAA000589,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000589.zip,Heart,LV,3_9_M,3,M,9,Viable,382930.5,81.27
MAA000920,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000920.zip,Heart,LA,3_11_M,3,M,11,Viable,503603.0,83.82
B000636,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000636.zip,Heart,LV,3_56_F,3,F,56,Viable,471039.5,85.365
B002430,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002430.zip,Heart,Aorta,3_38_F,3,F,38,Viable,605859.0,84.9
MAA100096,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100096.zip,Heart,?,3_38_F/3_39_F,3,F,,cardiomyocytes,145481.5,75.62
MAA000398,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000398.zip,Heart,LA,3_9_M,3,M,9,Viable,403096.0,86.26
B002011,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002011.zip,Heart,RA,3_38_F,3,F,38,Viable,562820.5,78.91
B002423,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002423.zip,Heart,RV,3_39_F,3,F,39,Viable,560943.0,87.015
B002427,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002427.zip,Heart,LA,3_39_F,3,F,39,Viable,564774.5,89.37
MAA000801,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000801.zip,Kidney,,3_11_M,3,M,11,Viable,402263.5,78.055
B002775,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002775.zip,Kidney,,3_39_F,3,F,39,Viable,422421.5,85.025
B001717,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001717.zip,Kidney,,3_38_F,3,F,38,Viable,399109.5,79.50999999999999
MAA000922,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000922.zip,Kidney,,3_9_M,3,M,9,Viable,316637.0,80.62
MAA000752,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000752.zip,Kidney,,3_10_M,3,M,10,Viable,403065.0,83.14
MAA000545,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000545.zip,Kidney,,3_8_M,3,M,8,Viable,591216.5,87.02
MAA100040,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100040.zip,Liver,Hepatocytes,3_11_M,3,M,11,,370448.5,77.995
MAA100140,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100140.zip,Liver,Hepatocytes,3_57_F,3,F,57,,228372.0,84.49000000000001
MAA100039,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100039.zip,Liver,Hepatocytes,3_11_M,3,M,11,,432392.5,81.945
MAA000377,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000377.zip,Liver,Non-hepatocytes,3_9_M,3,M,9,Viable,309888.5,85.29499999999999
MAA000907,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000907.zip,Liver,Non-hepatocytes,3_11_M,3,M,11,Viable,309609.5,83.07
MAA100138,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100138.zip,Liver,Hepatocytes,3_56_F,3,F,56,,220816.0,83.86500000000001
MAA100041,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100041.zip,Liver,Hepatocytes,3_9_M,3,M,9,,585011.0,78.155
MAA100042,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100042.zip,Liver,Hepatocytes,3_9_M,3,M,9,,373574.0,83.97
MAA000839,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000839.zip,Lung,,3_11_M,3,M,11,Multiple,331990.5,80.085
MAA001889,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001889.zip,Lung,EPCAM,3_38_F,3,F,38,Multiple,525700.0,85.02000000000001
MAA000891,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000891.zip,Lung,,3_10_M,3,M,10,Multiple,371015.5,81.49000000000001
D043522,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D043522.zip,Lung,Endomucin,3_39_F,3,F,39,Multiple,519078.0,87.75999999999999
MAA001847,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001847.zip,Lung,EPCAM,3_39_F,3,F,39,Multiple,436350.5,86.345
MAA001892,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001892.zip,Lung,Endomucin,3_38_F,3,F,38,Multiple,407601.5,80.195
MAA000530,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000530.zip,Lung,,3_8_M,3,M,8,Multiple,559716.0,86.785
MAA000526,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000526.zip,Lung,,3_9_M,3,M,9,Multiple,543070.0,88.505
B002432,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002432.zip,Mammary_Gland,Mammary_Gland,3_38_F,3,F,38,Multiple,625602.0,84.89
B002433,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002433.zip,Mammary_Gland,Mammary_Gland,3_38_F,3,F,38,Multiple,434037.0,86.58
B000167,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000167.zip,Mammary_Gland,Mammary_Gland,3_56_F,3,F,56,Multiple,378911.0,80.25
B002436,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002436.zip,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,413615.5,85.32
B002438,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002438.zip,Mammary_Gland,Mammary_Gland,3_38_F,3,F,38,Multiple,439457.0,87.08
B002435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002435.zip,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,313162.0,86.395
B002437,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002437.zip,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,365724.5,84.92500000000001
B000166,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000166.zip,Mammary_Gland,Mammary_Gland,3_56_F,3,F,56,Multiple,498220.0,80.37
B000168,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000168.zip,Mammary_Gland,Mammary_Gland,3_57_F,3,F,57,Multiple,600027.0,84.455
B002309,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002309.zip,Mammary_Gland,Mammary_Gland,3_57_F,3,F,57,Multiple,542188.0,85.36500000000001
MAA001842,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001842.zip,Marrow,T-cells,3_38_F,3,F,38,Multiple,596427.0,84.535
MAA000844,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000844.zip,Marrow,T-cells,3_10_M,3,M,10,Multiple,402908.5,83.53
D041912,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D041912.zip,Marrow,Granulocytes,3_8_M,3,M,8,Multiple,3681.0,79.135
MAA000596,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000596.zip,Marrow,KLS,3_9_M,3,M,9,Multiple,451248.0,85.21
D042044,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042044.zip,Marrow,B-cells,3_9_M,3,M,9,Multiple,26721.5,80.265
MAA000652,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000652.zip,Marrow,B-cells,3_10_M,3,M,10,Multiple,253556.0,83.245
MAA001883,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001883.zip,Marrow,B-cells,3_39_F,3,F,39,Multiple,681925.5,84.59
D045139,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D045139.zip,Marrow,Granulocytes,3_39_F,3,F,39,Multiple,416045.0,87.015
D045140,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D045140.zip,Marrow,Granulocytes,3_38_F,3,F,38,Multiple,619834.5,87.60499999999999
MAA000409,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000409.zip,Marrow,Granulocytes,3_10_M,3,M,10,Multiple,433136.0,88.79
D042479,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042479.zip,Marrow,B-cells,3_8_M,3,M,8,Multiple,29239.0,81.185
MAA000600,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000600.zip,Marrow,KLS,3_8_M,3,M,8,Multiple,366504.0,85.15
MAA000639,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000639.zip,Marrow,Granulocytes,3_9_M,3,M,9,Multiple,404674.5,84.81
D042467,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042467.zip,Marrow,T-cells,3_9_M,3,M,9,Multiple,49385.0,82.13499999999999
D042193,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042193.zip,Marrow,T-cells,3_8_M,3,M,8,Multiple,19818.0,80.57499999999999
MAA001884,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001884.zip,Marrow,B-cells,3_38_F,3,F,38,Multiple,736746.5,84.745
MAA000848,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000848.zip,Marrow,KLS,3_10_M,3,M,10,Multiple,487540.0,84.61500000000001
MAA001887,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001887.zip,Marrow,KLS,3_39_F,3,F,39,Multiple,546599.0,79.64
MAA001888,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001888.zip,Marrow,T-cells,3_39_F,3,F,39,Multiple,558324.5,87.16499999999999
MAA001844,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001844.zip,Marrow,KLS,3_38_F,3,F,38,Multiple,642326.5,85.635
MAA001454,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001454.zip,Muscle,Diaphragm,3_38_F,3,F,38,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",450447.0,85.33500000000001
B002769,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002769.zip,Muscle,ForelimbandHindlimb,3_39_F,3,F,39,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",452160.5,85.515
D042105,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042105.zip,Muscle,Diaphragm,3_11_M,3,M,11,Multiple,556269.0,86.32499999999999
D042473,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042473.zip,Muscle,ForelimbandHindlimb,3_10_M,3,M,10,Multiple,521264.0,87.16
D042103,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042103.zip,Muscle,ForelimbandHindlimb,3_11_M,3,M,11,Multiple,417585.5,83.49000000000001
D042186,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042186.zip,Muscle,ForelimbandHindlimb,3_8_M,3,M,8,Multiple,594492.5,86.525
D042185,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042185.zip,Muscle,ForelimbandHindlimb,3_9_M,3,M,9,Multiple,599391.5,86.505
B002762,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002762.zip,Muscle,Diaphragm,3_39_F,3,F,39,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",167182.5,83.00999999999999
D042180,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042180.zip,Muscle,Diaphragm,3_10_M,3,M,10,Multiple,14790.5,80.41
B002765,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002765.zip,Muscle,ForelimbandHindlimb,3_38_F,3,F,38,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",532520.5,84.73
MAA000574,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000574.zip,Pancreas,Exocrine,3_8_M,3,M,8,Viable,440152.5,81.28
MAA000910,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000910.zip,Pancreas,Exocrine,3_10_M,3,M,10,Viable,415284.5,80.205
MAA001862,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001862.zip,Pancreas,Endocrine,3_39_F,3,F,39,Viable,543441.5,87.025
MAA001868,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001868.zip,Pancreas,Exocrine,3_38_F,3,F,38,Viable,446699.5,80.175
MAA001857,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001857.zip,Pancreas,Endocrine,3_38_F,3,F,38,Viable,397683.5,86.24000000000001
MAA000884,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000884.zip,Pancreas,Endocrine,3_10_M,3,M,10,Viable,460646.0,85.99000000000001
MAA001861,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001861.zip,Pancreas,Exocrine,3_39_F,3,F,39,Viable,462713.5,84.84
MAA000577,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000577.zip,Pancreas,Endocrine,3_8_M,3,M,8,Viable,311408.0,86.53999999999999
B003283,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003283.zip,Skin,,3_38_F,3,F,38,Multiple,551779.5,86.88499999999999
MAA000614,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000614.zip,Skin,,3_10_M,3,M,10,Multiple,371723.5,84.6
MAA000597,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000597.zip,Skin,Anagen,3_9_M,3,M,9,Multiple,410865.0,86.155
MAA000427,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000427.zip,Skin,Anagen,3_11_M,3,M,11,Multiple,511876.0,87.315
MAA000549,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000549.zip,Skin,Anagen,3_8_M,3,M,8,Multiple,244206.0,83.09
B000126,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000126.zip,Skin,,3_39_F,3,F,39,Multiple,425639.5,86.56
MAA000938,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000938.zip,Skin,,3_8_M,3,M,8,Multiple,222886.5,85.405
MAA000927,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000927.zip,Skin,,3_9_M,3,M,9,Multiple,414295.5,86.065
MAA000435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000435.zip,Skin,Anagen,3_10_M,3,M,10,Multiple,646485.0,85.73
MAA000559,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000559.zip,Spleen,,3_8_M,3,M,8,Viable,9900.5,72.465
MAA000508,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000508.zip,Spleen,,3_9_M,3,M,9,Viable,238752.0,83.405
MAA000779,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000779.zip,Spleen,,3_11_M,3,M,11,Viable,481670.0,81.245
MAA000776,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000776.zip,Spleen,,3_10_M,3,M,10,Viable,92408.0,75.53999999999999
B000971,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000971.zip,Spleen,,3_39_F,3,F,39,Viable,622976.5,85.09
B001750,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001750.zip,Spleen,,3_38_F,3,F,38,Viable,477286.5,84.125
B000827,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000827.zip,Thymus,Flowthrough,3_38_F,3,F,38,Multiple,472771.0,85.87
B003285,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003285.zip,Thymus,Epithelium,3_38_F,3,F,38,Multiple,340119.0,83.16499999999999
MAA000609,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000609.zip,Thymus,,3_8_M,3,M,8,Multiple,293448.0,85.445
MAA000880,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000880.zip,Thymus,,3_11_M,3,M,11,Multiple,468451.0,78.995
B003284,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003284.zip,Thymus,Epithelium,3_39_F,3,F,39,Multiple,338779.5,85.60499999999999
B003291,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003291.zip,Thymus,Flowthrough,3_39_F,3,F,39,Multiple,603098.0,88.34
MAA000607,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000607.zip,Thymus,,3_9_M,3,M,9,Multiple,318989.5,83.995
D041894,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D041894.zip,Tongue,,3_9_M,3,M,9,Multiple,488665.0,87.18
B002780,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002780.zip,Tongue,,3_38_F,3,F,38,Multiple,437945.5,85.07
D041904,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D041904.zip,Tongue,,3_10_M,3,M,10,Multiple,604600.0,86.67500000000001
D041911,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D041911.zip,Tongue,,3_8_M,3,M,8,Multiple,35507.0,83.21000000000001
B002777,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002777.zip,Tongue,,3_39_F,3,F,39,Multiple,401794.5,83.875
MAA001865,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001865.zip,Trachea,,3_38_F,3,F,38,Multiple,457004.5,87.53
MAA000496,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000496.zip,Trachea,,3_10_M,3,M,10,Multiple,576674.5,86.445
MAA001867,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001867.zip,Trachea,,3_39_F,3,F,39,Multiple,443748.5,87.125
D042475,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042475.zip,Trachea,,3_9_M,3,M,9,Multiple,3299.0,78.97
D042474,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042474.zip,Trachea,,3_8_M,3,M,8,Multiple,8436.0,80.72
