,plate.barcode,annotation,subannotation
A21.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
F8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
H11.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
A22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
H12.MAA000594.3_8_M.1.1,MAA000594,adipocytes,
L9.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
P17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
D6.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
F14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
H17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
L10.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
N18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
P18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
D14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
F17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
H20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
J20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
N19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
P19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
H21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
J21.MAA000594.3_8_M.1.1,MAA000594,endothelial cells,
N20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
D17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
F20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
N21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
D19.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K4.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G1.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
K8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L20.MAA000594.3_8_M.1.1,MAA000594,hematopoetic cells,
O7.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
B18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
B19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
I14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
K9.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
B20.MAA000594.3_8_M.1.1,MAA000594,hematopoetic cells,
D22.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G3.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
L22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
B21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G5.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I16.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
M14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
B22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G7.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
I17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G12.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
M18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
I21.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
M20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
E18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
A8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
O17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
M21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
C17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
M22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
O18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
E20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
J4.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
A17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
E21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
G22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
N9.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
O20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
C20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
E22.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
H1.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
K22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
N10.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
O21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
C21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
H7.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
N13.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
P2.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
A20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
C22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
G18.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
G19.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
O17.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
C21.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
C22.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
G21.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
O19.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
H1.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
H2.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
K20.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
N18.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
K21.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
D17.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
H19.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
N20.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
A10.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
D19.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
D20.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
N22.MAA000595.3_9_M.1.1,MAA000595,endothelial cells,
D21.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
L6.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
M19.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
O2.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
A19.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,erythroblasts and adipocytes
D22.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
O3.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
A20.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,erythroblasts and adipocytes
E15.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
I20.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
A21.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
I21.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
M22.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
E19.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
B17.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
F2.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
J2.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
N2.MAA000595.3_9_M.1.1,MAA000595,endothelial cells,
B18.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
F17.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
N4.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
F18.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
L18.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
L19.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
F20.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
J21.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
B22.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
F22.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,erythroblasts and adipocytes
J22.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
L21.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
C17.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
L22.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,adipocytes
C19.MAA000595.3_9_M.1.1,MAA000595,hematopoetic cells,
G14.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
P18.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
N10.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,smooth muscle cells
P20.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
P21.MAA000595.3_9_M.1.1,MAA000595,heterogenous group of cells,erythroblasts and adipocytes
P5.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
P8.MAA000595.3_9_M.1.1,MAA000595,adipocytes,
P10.MAA000595.3_9_M.1.1,MAA000595,fibroblasts,
H6.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
B13.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
H19.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
H22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
P22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
D6.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,adipocytes
B18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
I17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B19.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
D15.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
I18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
M18.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
O17.MAA000906.3_11_M.1.1,MAA000906,adipocytes,
B20.MAA000906.3_11_M.1.1,MAA000906,fibroblasts,
D17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
I20.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
M19.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
D18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
I22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
M20.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
A17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
O20.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
D22.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
M21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
O21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
M22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
E4.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
J10.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
J18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
E20.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
A22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B3.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
C17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
F14.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
K20.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
N18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
F18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
K21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
N19.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
C18.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
F22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
C19.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B7.MAA000906.3_11_M.1.1,MAA000906,heterogenous group of cells,erythroblasts and adipocytes
C21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
N21.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
C22.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
L17.MAA000906.3_11_M.1.1,MAA000906,adipocytes,
P17.MAA000906.3_11_M.1.1,MAA000906,endothelial cells,
B18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
C17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
C18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
C19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
C20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
C21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B1.MAA000908.3_10_M.1.1,MAA000908,heterogenous group of cells,erythroblasts and adipocytes
C22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
B17.MAA000908.3_10_M.1.1,MAA000908,heterogenous group of cells,erythroblasts and adipocytes
D20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
K20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
D21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G15.MAA000908.3_10_M.1.1,MAA000908,heterogenous group of cells,adipocytes
J9.MAA000908.3_10_M.1.1,MAA000908,heterogenous group of cells,adipocytes
K21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
D22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
K22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
J17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
J18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
G22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
J20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
P22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
H17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
J22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
J21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
N17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
H18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
N19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
N18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
E22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
H20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
N20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
O22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
H21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
N21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
H22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
L17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
M22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
L18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
L20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
L21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I20.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
L22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
K17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
D17.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
F22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I21.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
D19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
D18.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
I22.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
K19.MAA000908.3_10_M.1.1,MAA000908,endothelial cells,
A22.B002430.3_38_F.1.1,B002430,adipocytes,
J17.B002430.3_38_F.1.1,B002430,adipocytes,
F22.B002430.3_38_F.1.1,B002430,adipocytes,
J21.B002430.3_38_F.1.1,B002430,adipocytes,
K5.B002430.3_38_F.1.1,B002430,heterogenous group of cells,erythroblasts and adipocytes
G18.B002430.3_38_F.1.1,B002430,adipocytes,
N16.B002430.3_38_F.1.1,B002430,heterogenous group of cells,erythroblasts and adipocytes
C19.B002430.3_38_F.1.1,B002430,adipocytes,
K21.B002430.3_38_F.1.1,B002430,endothelial cells,
N17.B002430.3_38_F.1.1,B002430,adipocytes,
C20.B002430.3_38_F.1.1,B002430,heterogenous group of cells,erythroblasts and adipocytes
H21.B002430.3_38_F.1.1,B002430,adipocytes,
L18.B002430.3_38_F.1.1,B002430,endothelial cells,
D17.B002430.3_38_F.1.1,B002430,adipocytes,
P18.B002430.3_38_F.1.1,B002430,adipocytes,
D19.B002430.3_38_F.1.1,B002430,heterogenous group of cells,erythroblasts and adipocytes
D20.B002430.3_38_F.1.1,B002430,adipocytes,
E22.B002430.3_38_F.1.1,B002430,adipocytes,
M20.B002430.3_38_F.1.1,B002430,heterogenous group of cells,erythroblasts and adipocytes
C15.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
D20.B002431.3_39_F.1.1,B002431,adipocytes,
H18.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
K22.B002431.3_39_F.1.1,B002431,adipocytes,
K21.B002431.3_39_F.1.1,B002431,adipocytes,
P22.B002431.3_39_F.1.1,B002431,adipocytes,
M9.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
N15.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
O18.B002431.3_39_F.1.1,B002431,adipocytes,
H20.B002431.3_39_F.1.1,B002431,adipocytes,
O21.B002431.3_39_F.1.1,B002431,adipocytes,
D22.B002431.3_39_F.1.1,B002431,adipocytes,
C18.B002431.3_39_F.1.1,B002431,adipocytes,
O22.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
C19.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
H21.B002431.3_39_F.1.1,B002431,adipocytes,
J18.B002431.3_39_F.1.1,B002431,adipocytes,
J19.B002431.3_39_F.1.1,B002431,adipocytes,
F20.B002431.3_39_F.1.1,B002431,adipocytes,
J20.B002431.3_39_F.1.1,B002431,adipocytes,
M17.B002431.3_39_F.1.1,B002431,adipocytes,
C21.B002431.3_39_F.1.1,B002431,endothelial cells,
F21.B002431.3_39_F.1.1,B002431,adipocytes,
J21.B002431.3_39_F.1.1,B002431,adipocytes,
F22.B002431.3_39_F.1.1,B002431,adipocytes,
J22.B002431.3_39_F.1.1,B002431,adipocytes,
L8.B002431.3_39_F.1.1,B002431,adipocytes,
B21.B002431.3_39_F.1.1,B002431,adipocytes,
M18.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
M19.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
O1.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
A18.B002431.3_39_F.1.1,B002431,adipocytes,
B22.B002431.3_39_F.1.1,B002431,adipocytes,
D4.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
A21.B002431.3_39_F.1.1,B002431,adipocytes,
E18.B002431.3_39_F.1.1,B002431,adipocytes,
G8.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
E20.B002431.3_39_F.1.1,B002431,adipocytes,
G15.B002431.3_39_F.1.1,B002431,adipocytes,
I19.B002431.3_39_F.1.1,B002431,adipocytes,
L17.B002431.3_39_F.1.1,B002431,adipocytes,
L19.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
I21.B002431.3_39_F.1.1,B002431,adipocytes,
G20.B002431.3_39_F.1.1,B002431,adipocytes,
L21.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
L22.B002431.3_39_F.1.1,B002431,adipocytes,
P17.B002431.3_39_F.1.1,B002431,adipocytes,
K17.B002431.3_39_F.1.1,B002431,adipocytes,
P18.B002431.3_39_F.1.1,B002431,adipocytes,
H8.B002431.3_39_F.1.1,B002431,heterogenous group of cells,adipocytes
K18.B002431.3_39_F.1.1,B002431,adipocytes,
A5.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
P20.B002431.3_39_F.1.1,B002431,adipocytes,
O15.B002431.3_39_F.1.1,B002431,heterogenous group of cells,erythroblasts and adipocytes
P21.B002431.3_39_F.1.1,B002431,adipocytes,
