"","plate.barcode","annotation","subannotation"
"L4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N2.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"H4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"E1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A6.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O2.D042103.3_11_M.1","D042103","B cells",NA
"I4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"G1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"H1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"B3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N4.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"I1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"C3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M4.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"K1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"E3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O4.D042103.3_11_M.1","D042103","B cells",NA
"P4.D042103.3_11_M.1","D042103","B cells",NA
"L1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M1.D042103.3_11_M.1","D042103","endothelial cells",NA
"G3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N1.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"H3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O1.D042103.3_11_M.1","D042103","B cells",NA
"I3.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"C5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J3.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P1.D042103.3_11_M.1","D042103","macrophages",NA
"A2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M3.D042103.3_11_M.1","D042103","endothelial cells",NA
"E5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N3.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"F5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"C2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O3.D042103.3_11_M.1","D042103","B cells",NA
"G5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"D2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P3.D042103.3_11_M.1","D042103","T cells",NA
"H5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"E2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"I5.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J5.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"G2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"C4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"K5.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"H2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"D4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M5.D042103.3_11_M.1","D042103","endothelial cells","Jun-positive"
"A1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"I2.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"E4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N5.D042103.3_11_M.1","D042103","endothelial cells","Jun-positive"
"B1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"K2.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O5.D042103.3_11_M.1","D042103","B cells",NA
"C1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M2.D042103.3_11_M.1","D042103","endothelial cells",NA
"G4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P5.D042103.3_11_M.1","D042103","B cells",NA
"C12.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G2.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C18.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G3.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K5.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"G4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K13.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"C20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G6.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C22.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K19.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D7.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"D4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K20.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D11.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G21.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"L4.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H10.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"D19.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E3.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H22.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E8.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I19.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"E5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I5.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B7.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E9.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I22.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B8.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J3.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"B12.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E17.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J7.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"E21.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J13.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B15.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"B16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E22.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J16.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"C3.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J17.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"C7.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"N4.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"P13.D042185.3_9_M.1.1","D042185","B cells",NA
"N8.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"P14.D042185.3_9_M.1.1","D042185","B cells",NA
"N9.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"N11.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"N13.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"N18.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"O6.D042185.3_9_M.1.1","D042185","B cells",NA
"O8.D042185.3_9_M.1.1","D042185","B cells",NA
"O7.D042185.3_9_M.1.1","D042185","T cells",NA
"O9.D042185.3_9_M.1.1","D042185","T cells",NA
"L15.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"L11.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"L16.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"O14.D042185.3_9_M.1.1","D042185","macrophages",NA
"L22.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"O15.D042185.3_9_M.1.1","D042185","T cells",NA
"M1.D042185.3_9_M.1.1","D042185","endothelial cells",NA
"O16.D042185.3_9_M.1.1","D042185","T cells",NA
"M6.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"M9.D042185.3_9_M.1.1","D042185","endothelial cells",NA
"O21.D042185.3_9_M.1.1","D042185","T cells",NA
"P1.D042185.3_9_M.1.1","D042185","B cells",NA
"M15.D042185.3_9_M.1.1","D042185","endothelial cells",NA
"P3.D042185.3_9_M.1.1","D042185","B cells",NA
"M16.D042185.3_9_M.1.1","D042185","endothelial cells",NA
"P4.D042185.3_9_M.1.1","D042185","T cells",NA
"P7.D042185.3_9_M.1.1","D042185","B cells",NA
"M17.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-negative"
"M22.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-positive"
"P11.D042185.3_9_M.1.1","D042185","T cells",NA
"P10.D042185.3_9_M.1.1","D042185","B cells",NA
"N1.D042185.3_9_M.1.1","D042185","endothelial cells","Jun-positive"
"P12.D042185.3_9_M.1.1","D042185","macrophages",NA
"A22.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C2.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D5.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I16.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"J20.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L2.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"E7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"M6.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"B1.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C3.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"N14.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O16.D042186.3_8_M.1.1","D042186","B cells",NA
"H15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I17.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"J21.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L3.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"N15.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"D6.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E8.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"O17.D042186.3_8_M.1.1","D042186","T cells",NA
"B2.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C4.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G13.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"P21.D042186.3_8_M.1.1","D042186","T cells",NA
"H16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"A1.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B3.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C5.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D8.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I19.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"I18.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L5.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M10.D042186.3_8_M.1.1","D042186","endothelial cells",NA
"N17.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"J22.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L4.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M8.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"N16.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O18.D042186.3_8_M.1.1","D042186","T cells",NA
"P22.D042186.3_8_M.1.1","D042186","B cells",NA
"O20.D042186.3_8_M.1.1","D042186","T cells",NA
"G15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H18.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I20.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K2.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L6.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M12.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"N18.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O21.D042186.3_8_M.1.1","D042186","B cells",NA
"A3.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B5.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"A2.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B4.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"C6.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F13.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"N19.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O22.D042186.3_8_M.1.1","D042186","B cells",NA
"A4.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B6.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C8.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E13.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H19.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I21.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"K3.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L7.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M13.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"B7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G18.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H21.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"J1.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K5.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K4.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M15.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"N21.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"P2.D042186.3_8_M.1.1","D042186","B cells",NA
"L8.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M14.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"N20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"P1.D042186.3_8_M.1.1","D042186","macrophages",NA
"A5.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H22.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"J2.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L10.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M17.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"N22.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"P3.D042186.3_8_M.1.1","D042186","T cells",NA
"A7.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"A6.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B8.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G19.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"P4.D042186.3_8_M.1.1","D042186","B cells",NA
"A8.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C13.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G21.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F18.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I2.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"J4.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K8.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"G20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"L11.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M19.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O1.D042186.3_8_M.1.1","D042186","B cells",NA
"C14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E18.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G22.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I3.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"J5.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K9.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"M22.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"M20.D042186.3_8_M.1.1","D042186","endothelial cells",NA
"O3.D042186.3_8_M.1.1","D042186","T cells",NA
"P6.D042186.3_8_M.1.1","D042186","B cells",NA
"O2.D042186.3_8_M.1.1","D042186","T cells",NA
"P5.D042186.3_8_M.1.1","D042186","T cells",NA
"A9.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I4.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K11.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L15.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"N1.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-negative"
"O4.D042186.3_8_M.1.1","D042186","T cells",NA
"P7.D042186.3_8_M.1.1","D042186","B cells",NA
"A11.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"A10.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B13.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C16.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D18.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C15.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E19.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"F21.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H1.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"P8.D042186.3_8_M.1.1","D042186","T cells",NA
"A12.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"B14.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"C17.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"D19.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E21.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G1.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H4.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"F22.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I6.D042186.3_8_M.1.1","D042186","endothelial cells",NA
"J8.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K13.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"H2.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I5.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"J7.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"K12.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"L16.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"N3.D042186.3_8_M.1.1","D042186","endothelial cells","Jun-positive"
"O5.D042186.3_8_M.1.1","D042186","T cells",NA
"L17.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
"D20.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"E22.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"G2.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"H5.D042186.3_8_M.1.1","D042186","muscle stem cells",NA
"I7.D042186.3_8_M.1.1","D042186","fibro-/adipogenic progenitors",NA
